x,g_hat,sigma2_hat,a_hat_raw,a_hat,b_hat
9.750826257450912,864.5515836659433,519.4112396119287,7.340856154985625,4.061709028666822,-263.82134487423247
9.866148967315008,869.4066047803417,515.1807701723804,7.376139852792187,3.640669945375973,-299.3355959770175
9.981471677179103,876.9887003941298,511.9429098265976,7.373794061748061,3.2206371409065837,-329.9549077411264
10.096794387043198,886.7705935706306,509.8886839014664,7.257385734361979,2.8078418963429863,-356.2345724750661
10.212117096907296,898.2250073731686,509.206621452952,7.157971817746036,2.4085154927695065,-378.72988248734373
10.327439806771391,910.8246648650666,509.9354752817623,7.212591911523945,2.0288892112704873,-397.9961300864651
10.442762516635486,924.0422891096483,511.88184499295534,7.403687629292622,1.6751943329302514,-414.5886075809378
10.558085226499582,937.3506031702377,514.832360024222,7.7380989425995015,1.3536621388331307,-429.06260727926843
10.673407936363677,950.2223301101578,518.573649813253,8.079828783246498,1.0705132246356914,-441.97342148996387
10.788730646227773,962.1301929927324,522.8923437977392,8.195625825822608,0.8292964332968432,-453.8763425215308
10.904053356091868,972.5469148812851,527.5750714153712,8.01628802973252,0.6273864093106569,-465.32666268247624
11.019376065955964,980.9452188391397,532.4084621038396,7.790637915216369,0.4612883199564565,-476.87967428130685
11.134698775820059,986.7978279296194,537.1791453008354,7.67952275922356,0.3275073325135664,-489.06419675897166
11.250021485684154,989.5774652160482,541.6737504440491,7.592880796162612,0.222548614261311,-501.87668708948354
11.36534419554825,988.8671649349948,545.6789069711716,7.489284210728992,0.14291733247901456,-514.8205677848094
11.480666905412345,984.9307242579183,548.9812443198934,7.3778722093715805,0.08511865444600147,-527.3806686159155
11.59598961527644,978.2913758933555,551.3673919279055,7.270873303088628,0.04565774744159598,-539.0418193537677
11.711312325140536,969.4728632497183,552.6240029924295,7.22345015147475,0.02103977874512242,-549.2888497693323
11.826635035004632,958.9989297354202,552.6349547112936,7.3121911862049,0.007769915635905128,-557.6065896335753
11.94195774486873,947.3933187588725,551.6028108708265,7.348087847622891,0.0023533253932683357,-563.4798687174631
12.057280454732826,935.1797737284893,549.7953314102556,7.230981166929706,0.0012951752965366047,-566.3935167919612
12.172603164596921,922.8820380526824,547.4802762688088,6.9361578685435425,0.0013464201529643338,-565.8323636280362
12.287925874461017,911.0238551398646,544.9254053857139,6.630595863254782,0.00139727658697764,-561.281238996654
12.403248584325112,900.1289683984483,542.3984787001988,6.4743833154162305,0.0014394534778015085,-552.224972668781
12.518571294189208,890.7211212368459,540.1672561514908,6.39509221631952,0.0014737629464361209,-538.1897753067043
12.633894004053303,883.3240570634703,538.4994976788184,6.347324696526618,0.0015010171138816583,-518.9855971755563
12.749216713917399,878.4615192867341,537.6629632214087,6.305807023156201,0.001522028101138302,-494.54140384451773
12.864539423781494,876.65725131505,537.92541271849,6.2851274745309045,0.0015376080292062327,-464.7865680562617
12.97986213364559,878.3830903927753,539.5546061092896,6.30001643555077,0.0015485690190856329,-429.65046255346175
13.095184843509685,883.4521852544317,542.8183033330358,6.336808694190901,0.0015557231917766833,-389.06246007879133
13.21050755337378,891.224911936016,547.984264328956,6.370189408210504,0.0015598826682795652,-342.9519333749244
13.325830263237876,901.0527462396329,555.2550617723392,6.392800549675787,0.0015618595695944593,-291.24825518453406
13.441152973101971,912.2871639673889,564.3514937159274,6.422077630985257,0.001562466016721548,-233.88079825029388
13.556475682966067,924.279640921388,574.7784254006647,6.437313962219504,0.00156251,-170.77893531487757
13.671798392830162,936.3816529037366,586.0397035164965,6.4301745402141774,0.00156251,-101.87203912095852
