x,g_hat,sigma2_hat,a_hat,b_hat
3.4080772149256546,862.5838325890126,557.6408928379501,6.475586339081059,-275.2073728000692
3.52339992478975,880.1577072240532,552.7559696330752,6.724269283378699,-531.9211129031027
3.6387226346538455,904.1946868917211,543.8053281939555,7.077163224822674,-737.3382125106148
3.754045344517941,930.4069030282616,534.022826901915,7.404486035626672,-849.354149758975
3.8693680543820363,954.5109502095279,527.170861781026,7.602665362505737,-851.8061547052632
3.9846907642461318,972.8993246563767,526.2434592944087,7.688015050890548,-757.9902961283572
4.100013474110227,983.1342286916984,532.416916215014,7.754449063345927,-605.639118008877
4.215336183974323,984.2806092692119,544.6033541542034,7.681073200539064,-444.8972948609379
4.330658893838418,977.080143561577,559.750291762865,7.437096987269894,-322.97321109383853
4.4459816037025135,963.91734685593,573.7722497837667,7.15512000990179,-270.1597394045659
4.561304313566611,948.491996131394,582.7901176939546,6.937451111911919,-291.47700809114986
4.676627023430706,935.1344293625073,584.2630057869352,6.8231809927562646,-366.4212024149268
4.791949733294802,927.7983900619384,577.6532091480792,6.8168784206736355,-456.7572447204484
4.907272443158897,928.9136481944086,564.441803249411,6.956600750347186,-519.7715298975435
5.022595153022992,938.4154438822615,547.5419847383723,7.23222526299712,-522.7021747042454
5.137917862887088,953.3169620335967,530.3553214465484,7.569023995548489,-453.7275346869842
5.253240572751183,968.104530197009,515.8138510875799,7.928349437650774,-326.02477875146576
5.368563282615279,976.0134284973801,505.71989574685915,8.183857191061303,-173.64619173298132
5.483885992479374,970.9445136278711,500.55592227928054,8.199201235766772,-40.58563201632703
5.59920870234347,949.510700744303,499.7482289380272,7.937538343781759,33.418260174323976
5.714531412207567,912.566886168794,502.20493554060005,7.430823064434115,25.765306645068573
5.829854122071662,865.6497536421654,506.87080435031163,6.864894668807297,-61.57467467012077
5.945176831935758,818.0379300534946,513.0723438758038,6.299300229576673,-202.45971473991347
6.060499541799853,780.5623005409875,520.5459356737517,5.788309483727264,-354.66809567881796
6.1758222516639485,762.7173400723691,529.1948200076972,5.453929065114872,-473.0937218020807
6.291144961528044,769.9004204940842,538.7421478914922,5.371421008151644,-523.8367139634386
6.406467671392139,801.6304403754197,548.4871967614486,5.574093158576032,-494.7162271746994
6.521790381256235,851.3443249930059,557.3160403040307,6.032514791931683,-398.8923022097797
6.63711309112033,907.9094978375357,563.9928281370471,6.529771581764219,-270.48660262435925
6.752435800984426,958.4665882098467,567.6188164254334,6.961919283062028,-153.6272664462893
6.867758510848523,991.8003154448364,568.054667486338,7.288891097454514,-88.40214664211447
6.983081220712618,1001.2662495730586,566.0988408716256,7.441094317685529,-98.14080738165934
7.098403930576714,986.4346134278347,563.3054191800286,7.4973284401186655,-181.97847634630864
